,Case_no,checking_status,credit_history,purpose,credit_amount,saving_status,personal_status,age,job,class
142,142,1,3,6,604,2,3,9,0,1
143,143,1,3,3,469,2,3,4,1,0
144,144,3,1,3,432,2,0,5,1,1
145,145,0,0,0,623,0,3,12,1,1
146,146,1,1,4,76,2,0,21,1,1
147,147,3,1,4,40,0,0,33,1,1
148,148,1,1,3,749,2,3,10,1,1
149,149,3,1,6,295,3,3,28,1,1
150,150,3,3,6,213,0,3,24,1,1
151,151,3,3,6,354,2,3,20,1,1
152,152,2,3,6,764,2,3,6,1,1
153,153,0,1,9,838,3,0,11,1,1
154,154,0,2,0,810,0,3,18,0,1
155,155,1,3,3,185,2,0,2,1,0
156,156,1,1,7,189,0,3,30,1,1
157,157,1,0,8,6,2,2,27,3,1
158,158,0,3,4,616,0,3,20,1,1
159,159,3,1,6,347,4,3,16,3,1
160,160,3,1,6,536,0,3,18,1,1
161,161,3,1,4,120,2,0,12,1,1
162,162,3,3,1,179,1,3,18,1,1
163,163,0,3,4,821,2,3,51,0,1
164,164,3,3,4,87,1,3,18,1,1
165,165,3,3,3,548,1,3,14,1,1
166,166,1,3,3,134,2,0,15,1,0
167,167,0,3,3,294,3,0,2,1,1
168,168,3,3,3,674,2,0,7,1,1
169,169,0,1,0,359,2,1,13,1,0
170,170,1,4,4,99,2,3,15,1,0
171,171,3,3,3,63,2,0,8,1,1
172,172,0,2,3,386,2,0,16,0,0
173,173,0,3,6,239,2,3,15,1,1
174,174,1,2,2,603,2,3,8,1,0
175,175,3,0,9,830,4,0,35,0,0
176,176,1,3,3,484,2,1,24,1,1
177,177,1,1,6,5,1,3,34,1,1
178,178,3,3,6,368,2,3,13,0,1
179,179,1,1,4,22,2,3,47,1,1
180,180,3,2,0,872,2,1,10,1,0
181,181,0,2,0,704,2,1,12,0,0
182,182,1,0,4,304,4,3,22,3,0
183,183,3,1,3,651,3,3,32,1,1
184,184,0,1,4,80,2,3,18,1,0
185,185,3,1,6,218,2,3,13,1,1
186,186,0,0,9,739,2,0,52,0,0
187,187,0,1,4,145,2,3,50,2,1
188,188,1,3,6,39,0,2,2,1,0
189,189,0,4,3,586,2,0,15,1,1
190,190,3,3,0,711,3,3,36,0,0
191,191,0,4,0,657,0,3,16,3,0
192,192,0,3,0,667,2,3,18,1,0
193,193,3,3,6,393,2,2,11,1,1
194,194,0,3,6,557,0,3,3,1,0
195,195,0,1,2,263,2,0,16,0,0
196,196,3,1,6,228,2,0,10,1,1
197,197,0,3,3,100,0,0,9,1,0
198,198,0,3,9,518,4,3,18,1,1
199,199,0,2,3,697,2,1,22,0,0
200,200,3,1,2,95,1,3,34,1,1
201,201,1,3,4,143,2,2,9,3,1
202,202,3,2,0,738,2,3,8,1,1
203,203,1,3,8,85,2,2,3,1,0
204,204,3,1,4,261,2,3,20,3,1
205,205,1,1,9,882,2,3,20,0,1
206,206,3,1,3,359,2,3,25,1,1
207,207,0,1,1,242,2,3,8,1,1
208,208,1,3,0,796,2,2,3,3,1
209,209,3,3,9,238,3,3,37,1,1
210,210,3,1,6,564,4,3,15,1,1
211,211,3,3,6,656,4,0,27,3,1
212,212,1,4,0,746,2,3,32,1,0
213,213,2,2,0,350,2,3,48,0,0
214,214,3,1,6,590,4,3,33,1,1
215,215,0,1,8,94,4,0,21,3,1
216,216,1,4,0,568,2,3,13,1,1
217,217,2,3,6,665,2,3,5,1,1
218,218,1,3,3,555,2,1,6,3,1
219,219,3,3,4,220,2,0,46,1,1
220,220,0,3,6,28,2,2,8,3,1
221,221,1,3,2,152,4,0,5,1,1
222,222,3,3,6,48,2,3,12,1,1
223,223,3,2,0,548,4,3,14,1,1
224,224,3,3,9,716,2,3,12,1,1
225,225,3,4,7,492,2,3,9,1,1
226,226,0,3,6,885,3,3,9,1,0
227,227,1,3,3,843,2,3,35,0,0
228,228,3,3,6,256,2,3,4,1,0
229,229,1,3,3,575,2,3,4,1,1
230,230,2,3,6,690,2,3,8,1,0
231,231,3,3,4,474,1,3,33,3,1
232,232,3,3,6,403,0,3,17,1,1
233,233,0,3,6,77,2,2,7,3,1
234,234,3,1,6,281,2,3,24,3,1
235,235,1,3,6,329,2,3,12,0,0
236,236,0,3,4,909,4,3,5,2,0
237,237,0,3,0,521,0,1,43,3,0
238,238,3,1,6,191,2,0,17,1,1
239,239,1,3,6,478,2,3,21,1,1
240,240,1,3,4,88,4,0,11,1,0
241,241,3,3,6,299,2,3,33,1,1
242,242,1,4,9,713,2,3,6,1,0
243,243,3,1,0,146,2,0,9,1,1
244,244,3,0,8,609,1,0,17,3,1
245,245,3,3,0,178,2,3,7,1,1
246,246,3,1,6,51,2,3,34,1,1
247,247,3,4,4,155,0,3,17,1,1
248,248,2,3,3,355,2,3,8,1,1
249,249,3,3,6,15,2,0,4,1,0
250,250,1,1,4,37,3,0,21,3,1
251,251,2,3,3,426,2,0,28,3,1
252,252,0,3,4,408,2,0,6,1,0
253,253,3,2,3,686,0,3,17,1,1
254,254,0,3,3,380,4,3,6,1,1
255,255,0,2,6,826,4,3,9,3,1
256,256,3,1,6,504,2,3,17,3,1
257,257,1,0,6,407,2,1,11,1,0
258,258,3,3,9,654,0,0,5,1,1
259,259,3,1,6,138,0,0,39,3,1
260,260,1,3,3,306,2,3,9,1,1
261,261,1,3,6,302,2,0,37,1,1
262,262,1,1,4,747,2,3,18,0,1
263,263,3,1,2,514,2,0,39,3,1
264,264,3,1,4,167,2,3,14,3,1
265,265,0,3,6,70,2,3,19,1,0
266,266,3,1,0,783,4,3,18,1,1
267,267,3,3,6,275,2,0,20,1,1
268,268,1,3,4,862,2,1,27,0,0
269,269,3,3,6,108,4,3,7,1,1
270,270,3,3,4,499,4,3,14,1,1
271,271,3,1,3,233,1,0,19,1,1
272,272,0,0,4,895,4,3,18,0,1
273,273,0,3,6,561,2,3,10,1,0
274,274,1,3,7,894,2,1,16,3,0
275,275,3,3,6,506,2,3,14,1,1
276,276,3,1,6,461,2,0,8,1,1
277,277,1,3,3,179,4,1,31,3,1
278,278,3,3,3,714,2,0,14,1,0
279,279,3,3,6,348,0,3,11,0,1
280,280,3,1,9,595,3,3,5,1,1
281,281,3,3,3,293,2,3,32,1,1
282,282,2,0,6,247,4,3,31,3,1
283,283,3,1,3,269,4,3,45,1,1
284,284,0,1,4,663,0,1,19,1,1
285,285,1,3,4,883,2,0,17,3,1
286,286,1,3,9,725,2,3,8,1,1
287,287,0,2,5,832,0,3,13,0,1
288,288,0,3,6,125,2,0,31,1,1
289,289,1,2,6,110,2,2,30,1,0
290,290,3,3,0,123,2,2,8,1,1
291,291,0,3,9,869,2,2,10,0,0
292,292,1,1,9,791,2,0,26,0,1
293,293,2,1,9,727,2,3,38,1,1
294,294,3,1,0,834,4,1,28,0,1
295,295,0,3,3,875,2,0,8,1,0
296,296,3,3,9,717,4,0,2,1,1
297,297,3,3,4,188,4,3,27,3,1
298,298,3,3,3,476,2,3,25,1,1
299,299,0,1,3,512,3,3,14,1,1
300,300,3,3,4,38,2,0,36,2,1
301,301,0,4,6,653,2,0,24,1,0
302,302,2,1,4,211,4,3,19,3,0
303,303,1,1,4,113,2,3,31,1,1
304,304,3,1,4,876,1,3,26,1,0
305,305,3,3,3,280,3,1,15,1,1
306,306,3,3,9,728,4,0,6,3,1
307,307,1,3,6,53,0,2,15,3,0
308,308,0,3,3,169,2,0,6,1,0
309,309,0,3,4,4,2,2,4,3,1
310,310,0,3,5,750,4,3,22,2,1
311,311,3,3,3,754,0,3,7,1,1
312,312,2,3,3,647,2,0,8,1,1
313,313,0,3,4,43,2,2,7,3,0
314,314,2,3,4,260,4,3,11,3,1
315,315,1,0,3,513,2,3,13,1,0
316,316,1,3,3,49,2,3,20,3,1
317,317,0,3,3,699,4,0,30,3,1
318,318,3,1,2,47,2,3,14,1,1
319,319,1,2,3,639,2,0,9,3,1
320,320,0,1,4,693,2,2,10,0,0
321,321,1,3,6,361,2,1,14,1,0
322,322,1,3,9,541,2,3,16,0,1
323,323,1,3,3,498,3,3,10,1,1
324,324,3,1,4,111,2,0,18,1,1
325,325,1,1,4,601,2,3,21,3,1
326,326,3,1,3,761,4,3,31,1,1
327,327,3,3,4,271,3,0,16,1,1
328,328,2,3,6,706,2,3,13,1,1
329,329,0,3,6,122,2,3,10,1,1
330,330,1,1,9,799,2,3,53,0,1
331,331,3,1,2,338,0,0,12,1,0
332,332,0,3,4,824,0,0,6,0,0
333,333,3,1,9,890,0,0,6,3,0
334,334,1,4,3,683,2,3,5,1,0
335,335,1,1,3,598,2,1,26,0,0
336,336,0,3,6,392,2,0,5,3,1
337,337,1,3,1,183,4,0,6,1,0
338,338,1,3,3,689,2,3,10,1,1
339,339,0,3,3,270,2,1,13,3,1
340,340,0,1,2,758,2,0,6,1,1
341,341,1,3,3,631,2,0,8,3,1
342,342,0,3,6,582,1,2,7,1,1
343,343,0,3,0,702,2,3,15,0,1
344,344,2,3,4,670,2,3,19,3,1
345,345,3,1,6,251,2,0,25,3,1
346,346,0,1,6,79,2,3,5,1,1
347,347,0,3,6,649,1,0,5,2,1
348,348,3,2,0,314,0,3,16,3,1
349,349,0,1,2,135,3,3,14,1,0
350,350,3,3,1,168,2,0,5,1,1
351,351,0,3,3,102,2,0,11,1,0
352,352,3,1,9,583,4,3,20,0,1
353,353,1,4,6,777,2,3,10,1,0
354,354,3,3,2,53,1,3,28,1,1
355,355,0,3,4,175,2,3,5,3,0
356,356,3,1,6,446,4,3,31,1,1
357,357,3,2,6,705,2,3,8,0,0
358,358,3,3,6,65,2,2,10,1,1
359,359,1,3,3,462,2,0,5,1,0
360,360,0,3,2,171,4,3,43,1,1
361,361,2,3,6,602,4,3,19,0,1
362,362,2,2,4,424,2,0,18,1,1
363,363,3,3,3,318,2,2,3,1,1
364,364,1,3,3,471,2,3,7,2,0
365,365,3,3,0,279,2,3,18,1,1
366,366,3,1,9,658,2,3,9,1,1
367,367,1,3,3,640,2,0,4,1,1
368,368,1,3,3,608,2,3,24,1,0
369,369,0,3,3,552,2,0,22,1,1
370,370,3,3,4,566,4,3,18,1,1
371,371,3,1,6,771,2,3,15,1,1
372,372,3,1,3,406,2,0,5,1,1
373,373,3,1,4,903,4,3,45,0,1
374,374,0,0,5,910,0,0,42,0,0
375,375,1,0,0,836,2,0,19,1,0
376,376,3,2,6,440,2,2,16,1,1
377,377,3,2,6,75,4,3,18,1,1
378,378,0,3,4,907,2,3,39,0,0
379,379,3,1,4,8,0,0,34,3,1
380,380,1,3,3,415,4,3,21,1,1
381,381,0,3,9,902,2,0,20,0,0
382,382,3,3,4,186,4,0,7,1,1
383,383,2,3,4,205,2,3,8,1,1
384,384,3,2,0,694,0,3,8,3,1
385,385,3,1,6,421,2,0,7,1,1
386,386,3,3,6,133,4,0,3,1,1
387,387,0,1,3,822,2,3,22,0,1
388,388,0,1,0,443,1,3,9,1,1
389,389,3,3,0,248,2,0,9,1,1
390,390,3,3,4,328,2,2,12,0,1
391,391,0,3,3,106,3,0,1,3,1
392,392,1,3,4,587,2,3,21,0,1
393,393,1,1,6,918,2,0,13,1,1
394,394,3,1,3,462,2,3,13,0,1
395,395,0,2,2,891,0,3,14,1,1
396,396,1,3,3,485,2,0,37,0,1
397,397,1,1,3,450,2,2,28,1,1
398,398,0,3,4,163,2,1,28,1,0
399,399,3,1,6,268,3,0,25,3,1
400,400,3,3,6,254,2,2,21,1,1
401,401,0,1,0,345,4,2,10,1,1
402,402,3,2,0,860,2,3,9,1,0
403,403,3,2,4,70,2,3,9,3,1
404,404,0,2,4,539,4,3,25,1,1
405,405,0,3,6,382,2,2,4,1,0
406,406,3,1,9,413,4,3,25,1,1
407,407,1,3,6,119,2,2,9,1,1
408,408,3,3,6,585,1,1,8,0,1
409,409,2,1,4,97,1,2,10,1,0
410,410,0,3,6,370,2,0,2,1,1
411,411,3,1,9,819,2,3,17,0,1
412,412,3,1,0,433,2,3,24,0,0
413,413,3,3,4,300,1,3,22,3,1
414,414,1,3,4,227,4,0,17,1,0
415,415,3,1,9,763,2,3,17,1,1
416,416,1,3,4,486,2,3,15,3,0
417,417,1,2,2,856,4,0,5,1,1
418,418,3,3,4,524,1,0,13,0,1
419,419,0,3,4,114,4,0,15,1,0
420,420,3,3,4,579,3,0,2,1,1
421,421,0,3,9,379,4,3,12,1,1
422,422,0,1,4,101,2,3,29,3,1
423,423,3,2,3,297,0,3,16,0,1
424,424,0,3,3,519,4,0,7,1,0
425,425,0,3,9,523,2,2,3,1,1
426,426,3,1,6,511,2,3,11,1,1
427,427,3,1,6,137,3,3,28,1,1
428,428,3,3,3,200,2,3,2,1,1
429,429,1,1,7,148,2,0,37,2,0
430,430,3,3,0,610,2,3,52,3,1
431,431,0,3,5,888,2,3,11,0,0
432,432,1,1,3,340,2,3,18,0,1
433,433,3,1,7,384,2,1,15,1,1
434,434,1,3,3,402,2,3,7,1,1
435,435,0,3,6,258,4,2,7,1,0
436,436,3,3,7,35,1,2,5,3,1
437,437,3,1,4,188,3,0,19,1,1
438,438,1,1,7,600,2,3,47,2,1
439,439,2,0,0,26,2,0,8,2,0
440,440,3,3,4,344,2,3,21,0,1
441,441,1,3,3,303,2,0,12,1,1
442,442,0,2,5,495,2,3,11,1,1
443,443,3,3,2,52,2,3,23,3,0
444,444,0,1,3,736,2,0,12,0,0
445,445,3,1,2,173,4,0,23,3,1
446,446,1,3,4,333,2,0,16,1,0
447,447,0,3,6,483,2,3,17,1,1
448,448,2,3,3,242,4,0,37,0,1
449,449,0,2,7,266,3,2,43,1,0
450,450,3,1,9,887,4,3,12,0,1
451,451,3,3,6,20,2,0,11,1,1
452,452,3,4,3,517,2,3,16,1,1
453,453,3,3,9,500,2,3,17,0,1
454,454,1,3,4,729,2,3,13,1,0
455,455,3,3,9,503,2,0,11,0,1
456,456,1,1,4,664,2,3,18,1,1
457,457,1,3,9,599,2,3,17,1,0
458,458,1,3,1,7,2,0,9,1,1
459,459,3,3,6,712,2,3,14,1,1
460,460,1,3,3,635,2,3,19,1,1
461,461,1,3,4,311,2,3,18,1,1
462,462,0,3,3,554,2,0,16,0,1
463,463,0,3,8,60,4,3,20,1,1
464,464,3,3,0,365,2,3,16,1,1
465,465,1,3,9,543,2,3,45,1,1
466,466,1,2,6,307,2,0,11,3,0
467,467,3,2,6,818,4,3,14,1,1
468,468,3,2,0,520,2,0,8,1,1
469,469,3,2,9,718,2,3,17,3,1
470,470,0,3,6,567,0,2,4,1,0
471,471,1,3,2,16,2,0,5,1,0
472,472,1,3,4,34,2,3,10,3,0
473,473,3,3,8,170,4,3,18,0,1
474,474,0,1,6,174,2,2,15,1,0
475,475,1,4,3,571,2,0,8,1,0
476,476,3,3,9,481,1,3,0,1,1
477,477,2,3,6,741,2,3,7,1,1
478,478,0,3,0,112,0,3,21,3,1
479,479,1,1,3,256,2,3,26,1,1
480,480,0,1,6,625,2,0,5,3,1
481,481,0,3,4,153,2,3,8,1,1
482,482,1,3,3,637,3,0,39,1,1
483,483,3,2,3,103,3,0,12,1,1
484,484,3,1,4,141,1,3,26,1,1
485,485,0,2,4,158,2,3,29,0,0
486,486,3,3,6,565,2,3,34,1,1
487,487,3,3,4,648,2,0,44,1,1
488,488,3,3,4,240,0,3,17,3,1
489,489,3,3,4,617,2,3,8,1,1
490,490,3,1,6,358,2,3,8,1,1
491,491,0,4,0,852,2,0,24,0,0
492,492,3,1,6,169,0,0,9,1,1
493,493,0,3,6,9,4,3,20,1,1
494,494,1,1,4,397,2,3,21,3,1
495,495,1,3,3,551,4,2,2,1,0
496,496,0,3,3,863,0,3,11,0,0
497,497,3,1,3,296,2,3,22,1,1
498,498,0,3,6,196,2,2,14,3,1
499,499,2,1,4,204,0,1,10,1,1
500,500,1,3,4,572,2,0,9,1,0
501,501,1,3,9,752,2,3,24,1,1
502,502,2,3,6,133,0,1,31,1,1
503,503,0,1,6,160,0,3,20,1,0
504,504,1,3,4,157,2,0,6,1,0
505,505,3,3,4,198,4,3,9,3,0
506,506,2,1,9,453,1,3,18,1,1
507,507,0,0,4,806,0,3,16,0,0
508,508,3,3,6,238,2,2,10,1,1
509,509,3,3,9,858,0,3,27,0,1
510,510,1,3,4,61,2,3,8,1,0
511,511,3,3,9,719,2,3,14,0,1
512,512,2,3,0,505,2,3,8,1,1
513,513,0,2,6,23,2,2,2,1,1
514,514,3,3,4,427,4,3,36,1,1
515,515,1,1,4,26,2,0,19,1,1
516,516,1,1,4,219,2,3,22,3,1
517,517,3,1,3,814,2,0,5,1,0
518,518,1,3,4,154,0,3,25,1,1
519,519,3,1,6,46,4,3,18,1,1
520,520,3,1,7,753,2,3,26,1,1
521,521,1,3,6,580,2,0,6,1,0
522,522,1,4,3,813,2,3,35,1,0
523,523,3,3,9,612,0,0,5,1,1
524,524,0,3,6,131,2,0,8,3,1
525,525,0,3,9,845,2,3,12,1,1
526,526,3,1,2,274,0,0,13,1,1
527,527,3,1,6,912,2,3,24,3,1
528,528,1,3,6,436,2,1,13,1,0
529,529,1,3,4,36,2,3,23,3,1
530,530,0,3,2,428,2,3,14,1,1
531,531,0,3,4,496,0,0,10,1,0
532,532,3,2,9,264,2,2,23,1,1
533,533,3,3,6,199,0,2,8,1,1
534,534,3,3,6,569,4,3,7,1,1
535,535,2,1,2,439,2,1,15,1,0
536,536,1,3,4,224,4,0,53,0,1
537,537,0,1,3,633,2,0,19,1,1
538,538,1,3,4,839,2,3,24,0,0
539,539,2,3,3,558,2,0,27,3,1
540,540,0,3,6,276,2,2,5,1,0
541,541,3,2,4,381,2,3,42,1,1
542,542,1,3,3,787,4,3,13,1,0
543,543,2,3,3,535,2,3,16,3,0
544,544,3,1,4,177,2,3,43,3,1
545,545,1,2,4,207,2,3,25,1,0
546,546,3,1,4,378,2,0,19,1,1
547,547,3,3,6,284,2,3,14,1,1
548,548,1,0,6,29,2,0,6,3,0
549,549,3,1,9,861,4,3,17,1,1
550,550,3,1,7,107,4,0,5,1,1
551,551,3,0,6,316,1,3,27,3,1
552,552,1,3,6,811,2,2,16,1,0
553,553,0,1,4,375,0,3,9,1,1
554,554,0,3,2,151,2,0,49,0,1
555,555,0,3,6,206,2,3,4,1,0
556,556,0,4,4,429,0,0,10,1,0
557,557,3,4,4,733,4,0,11,1,0
558,558,1,0,3,620,2,3,9,1,0
559,559,0,1,3,357,2,3,13,3,0
560,560,1,3,9,546,4,3,31,1,1
561,561,1,0,6,282,2,3,6,3,0
562,562,2,2,6,41,2,0,11,1,1
563,563,0,3,4,897,4,3,19,1,0
564,564,0,2,0,720,4,3,19,0,1
565,565,0,2,6,285,0,0,5,1,1
566,566,1,3,4,223,2,1,18,1,0
567,567,3,1,6,485,3,3,16,1,1
568,568,0,3,6,677,4,3,23,1,1
569,569,1,3,6,802,2,0,13,1,0
570,570,1,3,3,584,2,0,5,3,0
571,571,3,1,6,768,2,3,20,1,1
572,572,3,3,9,751,4,0,8,0,1
573,573,1,3,0,72,2,0,4,3,1
574,574,0,3,6,124,2,3,9,3,1
575,575,3,1,3,525,2,0,6,1,1
576,576,0,3,6,544,2,0,9,1,1
577,577,3,1,2,356,4,0,15,1,1
578,578,0,1,4,528,2,1,9,1,0
579,579,3,3,8,96,2,2,9,3,1
580,580,0,1,4,121,2,3,12,1,0
581,581,0,1,4,573,2,3,31,3,1
582,582,3,3,3,230,2,0,8,1,1
583,583,0,3,7,456,2,3,15,3,0
584,584,3,3,4,400,4,0,34,0,1
585,585,1,3,3,382,2,0,2,1,0
586,586,1,1,4,526,2,3,18,1,1
587,587,1,3,3,190,2,3,3,3,1
588,588,1,3,1,161,2,2,29,3,0
589,589,1,1,3,423,2,3,42,1,0
590,590,1,1,6,10,2,0,40,3,1
591,591,0,2,4,369,4,0,24,1,1
592,592,3,3,0,292,3,0,18,3,1
593,593,0,3,4,509,2,0,2,3,0
594,594,1,0,5,217,4,3,22,0,0
595,595,0,0,4,93,0,0,14,3,0
596,596,1,3,4,245,2,0,5,1,0
597,597,0,4,0,692,2,3,18,3,0
598,598,3,1,4,522,2,3,13,1,0
599,599,3,2,0,660,2,3,14,1,1
600,600,0,3,6,445,2,0,27,1,1
601,601,0,3,3,89,2,0,12,1,0
602,602,0,0,2,332,2,0,16,3,0
603,603,3,3,3,593,2,0,10,0,0
604,604,2,3,3,183,2,0,5,1,1
605,605,1,0,3,530,1,3,4,1,1
606,606,3,1,0,707,2,3,52,0,1
607,607,0,3,6,501,0,0,32,1,0
608,608,3,3,6,383,2,3,15,1,1
609,609,3,3,9,195,4,3,27,1,1
610,610,1,3,1,56,0,0,4,1,0
611,611,2,3,4,172,0,0,30,3,0
612,612,1,3,6,594,3,0,11,1,1
613,613,1,0,9,638,2,0,4,1,1
614,614,3,2,3,325,2,0,4,1,0
615,615,0,4,0,896,4,3,30,0,1
616,616,0,2,6,865,4,3,9,0,1
617,617,1,1,4,645,2,3,19,1,1
618,618,0,3,3,607,0,0,3,1,0
619,619,3,3,4,32,2,1,31,3,1
620,620,0,1,0,642,2,3,9,1,1
621,621,3,1,4,273,2,3,14,1,0
622,622,3,3,0,666,4,1,20,1,0
623,623,1,3,3,336,2,0,4,1,1
624,624,1,3,6,488,2,3,47,1,0
625,625,3,3,6,919,4,3,17,1,1
626,626,2,3,3,394,2,3,23,1,1
627,627,0,0,4,244,0,3,11,1,0
628,628,3,1,3,681,1,3,18,1,1
629,629,3,3,2,655,4,3,46,3,1
630,630,1,3,6,644,2,0,10,1,1
631,631,1,0,3,285,2,3,26,1,0
